epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,45803.2,0.83654,0.51439,1.01944,0.98154,0.98,0.99325,0.79552,0.84152,0.42882,1.00123,0.0013169,0.0013169,0.0013169
71,46092.1,0.83141,0.52901,1.02342,0.99158,0.97,0.99301,0.78742,0.84432,0.44923,1.03427,0.001307,0.001307,0.001307
72,46381,0.81932,0.50749,1.01024,0.98832,0.97,0.98552,0.81419,0.80957,0.42546,0.98955,0.0012971,0.0012971,0.0012971
73,46670.2,0.8369,0.52661,1.02194,0.98923,0.96,0.98799,0.79091,0.8628,0.44755,0.99257,0.0012872,0.0012872,0.0012872
74,46959.4,0.80476,0.49088,1.00819,0.98977,0.96757,0.98692,0.82483,0.79425,0.4353,0.99876,0.0012773,0.0012773,0.0012773
75,47248.5,0.81231,0.48667,1.00497,1,0.96549,0.99038,0.81813,0.81552,0.42391,0.97693,0.0012674,0.0012674,0.0012674
76,47537.7,0.80584,0.49117,1.01033,0.99734,0.98,0.98994,0.80907,0.77691,0.39926,0.98154,0.0012575,0.0012575,0.0012575
77,47827.3,0.80675,0.48175,1.0147,0.99006,0.99558,0.9949,0.82055,0.76621,0.39835,0.9712,0.0012476,0.0012476,0.0012476
78,48116.8,0.80491,0.49755,1.0083,0.98789,0.98,0.99328,0.83066,0.7431,0.38831,0.98685,0.0012377,0.0012377,0.0012377
79,48406,0.78613,0.48136,0.99868,0.9899,0.97967,0.98926,0.81309,0.8461,0.40291,0.99663,0.0012278,0.0012278,0.0012278
80,48695,0.77942,0.47409,0.99431,0.98014,0.98723,0.99195,0.81559,0.80893,0.38649,0.9721,0.0012179,0.0012179,0.0012179
81,48983.9,0.7779,0.48058,1.00274,1,0.97769,0.98894,0.83481,0.73429,0.38711,0.96585,0.001208,0.001208,0.001208
82,49273,0.76544,0.47749,0.99148,0.98696,0.97,0.98914,0.82525,0.74736,0.40865,0.97075,0.0011981,0.0011981,0.0011981
83,49561.7,0.7832,0.47192,1.00344,0.98789,0.97,0.98319,0.82319,0.7601,0.41418,0.95999,0.0011882,0.0011882,0.0011882
84,49850.6,0.75463,0.45195,0.9858,0.97864,0.98,0.9882,0.80001,0.92566,0.43623,1.01182,0.0011783,0.0011783,0.0011783
85,50139.8,0.74968,0.44539,0.9834,0.98576,0.97,0.98512,0.81894,0.79304,0.40266,0.96422,0.0011684,0.0011684,0.0011684
86,50428.6,0.77442,0.46786,0.98811,0.97997,0.97866,0.99165,0.8256,0.80509,0.38193,0.97005,0.0011585,0.0011585,0.0011585
87,50717.7,0.74919,0.45913,0.97944,0.98996,0.99,0.99079,0.81623,0.82263,0.38798,1.00637,0.0011486,0.0011486,0.0011486
88,51007.4,0.77133,0.46083,0.98976,0.94896,0.97,0.98068,0.80335,0.75105,0.42151,0.96436,0.0011387,0.0011387,0.0011387
89,51296.8,0.75667,0.45703,0.98102,0.98807,0.97,0.99321,0.81078,0.80347,0.39476,0.99148,0.0011288,0.0011288,0.0011288
90,51586.1,0.75736,0.46764,0.98524,0.97812,0.99,0.99308,0.81336,0.82198,0.37749,0.9768,0.0011189,0.0011189,0.0011189
91,51875,0.74571,0.45411,0.98774,0.98777,0.99,0.99022,0.82509,0.74823,0.37461,0.95853,0.001109,0.001109,0.001109
92,52164.4,0.75806,0.45645,0.97791,0.98999,0.98919,0.99042,0.82827,0.75065,0.38207,0.95436,0.0010991,0.0010991,0.0010991
93,52453.3,0.72905,0.43392,0.96003,1,0.97918,0.99215,0.83747,0.78785,0.39884,0.95009,0.0010892,0.0010892,0.0010892
94,52742.8,0.76638,0.45564,0.98223,0.98998,0.98758,0.98656,0.8053,0.81048,0.40531,0.98194,0.0010793,0.0010793,0.0010793
95,53032,0.73654,0.43776,0.98655,0.99765,0.98,0.99461,0.83462,0.73372,0.3664,0.94097,0.0010694,0.0010694,0.0010694
96,53321.3,0.74919,0.44825,0.97553,0.98979,0.9692,0.98111,0.81903,0.83509,0.40439,0.98815,0.0010595,0.0010595,0.0010595
97,53610.9,0.74529,0.45102,0.97259,0.98526,0.97,0.98682,0.81792,0.77896,0.38987,0.95894,0.0010496,0.0010496,0.0010496
98,53900.1,0.71316,0.42901,0.96609,0.99475,0.97,0.98839,0.82439,0.77495,0.37892,0.97974,0.0010397,0.0010397,0.0010397
99,54189,0.74843,0.44654,0.97425,0.98016,0.98804,0.98776,0.82768,0.80224,0.40813,0.97788,0.0010298,0.0010298,0.0010298
100,54478.8,0.73048,0.4289,0.97429,0.98937,0.98,0.98925,0.82367,0.80212,0.40924,0.97271,0.0010199,0.0010199,0.0010199
101,54768,0.72604,0.43953,0.97884,0.9974,0.98,0.99215,0.82679,0.76502,0.38462,0.95232,0.00101,0.00101,0.00101
102,55057.5,0.73651,0.44563,0.98464,0.98885,0.97,0.99383,0.82226,0.7633,0.37752,0.98834,0.0010001,0.0010001,0.0010001
103,55346.5,0.72888,0.43988,0.96667,0.99843,0.98,0.99405,0.82616,0.71956,0.3705,0.96005,0.0009902,0.0009902,0.0009902
104,55635.3,0.71759,0.43355,0.96477,0.97976,0.96794,0.99044,0.83019,0.76105,0.40033,0.9795,0.0009803,0.0009803,0.0009803
105,55924.9,0.74977,0.44193,0.97848,0.97978,0.96908,0.9924,0.82596,0.78636,0.38636,0.96453,0.0009704,0.0009704,0.0009704
106,56214.2,0.71095,0.42966,0.95921,0.98773,0.97,0.98672,0.81532,0.78837,0.36152,1.01874,0.0009605,0.0009605,0.0009605
107,56503,0.70035,0.42344,0.96982,1,0.98883,0.99435,0.85083,0.73674,0.35458,0.96334,0.0009506,0.0009506,0.0009506
108,56792.1,0.70113,0.41717,0.95749,0.98986,0.9761,0.99271,0.83458,0.75121,0.37441,0.96242,0.0009407,0.0009407,0.0009407
109,57081.2,0.72428,0.43602,0.96609,0.97842,0.99,0.99385,0.84038,0.75755,0.37918,0.95749,0.0009308,0.0009308,0.0009308
110,57370.1,0.69747,0.42864,0.96746,1,0.98898,0.99362,0.84549,0.7481,0.35643,0.95569,0.0009209,0.0009209,0.0009209
111,57659.2,0.69167,0.4186,0.95641,1,0.97881,0.98668,0.82588,0.70673,0.36046,0.923,0.000911,0.000911,0.000911
112,57948.3,0.70457,0.41493,0.96772,1,0.98626,0.99462,0.81221,0.77864,0.3739,0.94471,0.0009011,0.0009011,0.0009011
113,58237.1,0.68926,0.41629,0.95833,0.9874,0.97,0.99285,0.81464,0.76618,0.35863,0.95754,0.0008912,0.0008912,0.0008912
114,58526.2,0.68391,0.4124,0.96447,0.99812,0.99,0.9948,0.8326,0.71565,0.34202,0.96988,0.0008813,0.0008813,0.0008813
115,58815.3,0.67071,0.40924,0.94874,0.98963,0.99,0.98882,0.83072,0.76869,0.36634,0.96774,0.0008714,0.0008714,0.0008714
116,59104.5,0.68964,0.41321,0.95546,0.99842,0.98,0.99113,0.84865,0.74124,0.35994,0.97134,0.0008615,0.0008615,0.0008615
117,59393.5,0.6826,0.40775,0.94766,0.98084,0.98,0.99006,0.84909,0.72378,0.36429,0.94361,0.0008516,0.0008516,0.0008516
118,59683,0.68277,0.41056,0.95067,0.98017,0.98864,0.98776,0.82408,0.78885,0.38812,0.9484,0.0008417,0.0008417,0.0008417
119,59972.3,0.71301,0.42425,0.95931,0.98999,0.98905,0.98871,0.82904,0.76552,0.36914,0.94334,0.0008318,0.0008318,0.0008318
120,60261.5,0.66395,0.39839,0.94557,1,0.98913,0.99225,0.84306,0.71009,0.33991,0.94364,0.0008219,0.0008219,0.0008219
121,60732.6,0.69748,0.41358,0.96185,1,0.98636,0.9871,0.82722,0.68663,0.36062,0.91323,0.000812,0.000812,0.000812
122,61466.2,0.68076,0.39563,0.95304,0.99009,0.99909,0.9949,0.84368,0.70549,0.3681,0.93055,0.0008021,0.0008021,0.0008021
123,62203.1,0.67281,0.39369,0.94583,0.98834,0.98,0.99441,0.82605,0.76542,0.34869,0.95646,0.0007922,0.0007922,0.0007922
124,62947,0.67389,0.39619,0.94074,0.99884,1,0.995,0.8427,0.70865,0.34357,0.9391,0.0007823,0.0007823,0.0007823
125,63694.3,0.66388,0.40438,0.95246,1,0.99872,0.995,0.84621,0.71671,0.35422,0.93768,0.0007724,0.0007724,0.0007724
126,64440.8,0.65824,0.39252,0.93877,0.98865,1,0.9947,0.82625,0.766,0.35096,0.96579,0.0007625,0.0007625,0.0007625
127,65186.6,0.6644,0.39708,0.95689,0.99032,1,0.995,0.84037,0.73439,0.3509,0.96093,0.0007526,0.0007526,0.0007526
128,65931.5,0.70236,0.41117,0.95258,0.99992,0.99,0.99209,0.83462,0.7259,0.34788,0.94327,0.0007427,0.0007427,0.0007427
129,66676.5,0.68075,0.40449,0.95454,0.97966,1,0.99363,0.81675,0.73276,0.33556,0.94662,0.0007328,0.0007328,0.0007328
